samples	OralSite	colors
147406386-BM	BM	#FF0066
147406386-HP	HP	#66FFFF
147406386-KG	KG	#99FF66
147406386-SUBP	SUBP	#CC00FF
147406386-SUPP	SUPP	#FF00FF
147406386-SV	SV	#00FFFF
147406386-TD	TD	#33FFFF
147406386-TH	TH	#33CCFF
158013734-BM	BM	#FF0066
158013734-HP	HP	#66FFFF
158013734-KG	KG	#99FF66
158013734-SUBP	SUBP	#CC00FF
158013734-SUPP	SUPP	#FF00FF
158013734-SV	SV	#00FFFF
158013734-TD	TD	#33FFFF
158013734-TH	TH	#33CCFF
158114885-BM	BM	#FF0066
158114885-HP	HP	#66FFFF
158114885-KG	KG	#99FF66
158114885-SUBP	SUBP	#CC00FF
158114885-SUPP	SUPP	#FF00FF
158114885-SV	SV	#00FFFF
158114885-TD	TD	#33FFFF
158114885-TH	TH	#33CCFF
158155345-BM	BM	#FF0066
158155345-HP	HP	#66FFFF
158155345-KG	KG	#99FF66
158155345-SUBP	SUBP	#CC00FF
158155345-SUPP	SUPP	#FF00FF
158155345-SV	SV	#00FFFF
158155345-TD	TD	#33FFFF
158155345-TH	TH	#33CCFF
158216035-BM	BM	#FF0066
158216035-HP	HP	#66FFFF
158216035-KG	KG	#99FF66
158216035-SUBP	SUBP	#CC00FF
158216035-SUPP	SUPP	#FF00FF
158216035-SV	SV	#00FFFF
158216035-TD	TD	#33FFFF
158216035-TH	TH	#33CCFF
158256496-BM	BM	#FF0066
158256496-HP	HP	#66FFFF
158256496-KG	KG	#99FF66
158256496-SUBP	SUBP	#CC00FF
158256496-SUPP	SUPP	#FF00FF
158256496-SV	SV	#00FFFF
158256496-TD	TD	#33FFFF
158256496-TH	TH	#33CCFF
158276726-BM	BM	#FF0066
158276726-HP	HP	#66FFFF
158276726-KG	KG	#99FF66
158276726-SUBP	SUBP	#CC00FF
158276726-SUPP	SUPP	#FF00FF
158276726-SV	SV	#00FFFF
158276726-TD	TD	#33FFFF
158276726-TH	TH	#33CCFF
158337416-BM	BM	#FF0066
158337416-HP	HP	#66FFFF
158337416-KG	KG	#99FF66
158337416-SUBP	SUBP	#CC00FF
158337416-SUPP	SUPP	#FF00FF
158337416-SV	SV	#00FFFF
158337416-TD	TD	#33FFFF
158337416-TH	TH	#33CCFF
158357646-BM	BM	#FF0066
158357646-HP	HP	#66FFFF
158357646-KG	KG	#99FF66
158357646-SUBP	SUBP	#CC00FF
158357646-SUPP	SUPP	#FF00FF
158357646-SV	SV	#00FFFF
158357646-TD	TD	#33FFFF
158357646-TH	TH	#33CCFF
158418336-BM	BM	#FF0066
158418336-HP	HP	#66FFFF
158418336-KG	KG	#99FF66
158418336-SUBP	SUBP	#CC00FF
158418336-SUPP	SUPP	#FF00FF
158418336-SV	SV	#00FFFF
158418336-TD	TD	#33FFFF
158418336-TH	TH	#33CCFF
158438567-BM	BM	#FF0066
158438567-HP	HP	#66FFFF
158438567-KG	KG	#99FF66
158438567-SUBP	SUBP	#CC00FF
158438567-SUPP	SUPP	#FF00FF
158438567-SV	SV	#00FFFF
158438567-TD	TD	#33FFFF
158438567-TH	TH	#33CCFF
158458797-BM	BM	#FF0066
158458797-HP	HP	#66FFFF
158458797-KG	KG	#99FF66
158458797-SUBP	SUBP	#CC00FF
158458797-SUPP	SUPP	#FF00FF
158458797-SV	SV	#00FFFF
158458797-TD	TD	#33FFFF
158458797-TH	TH	#33CCFF
158479027-BM	BM	#FF0066
158479027-HP	HP	#66FFFF
158479027-KG	KG	#99FF66
158479027-SUBP	SUBP	#CC00FF
158479027-SUPP	SUPP	#FF00FF
158479027-SV	SV	#00FFFF
158479027-TD	TD	#33FFFF
158479027-TH	TH	#33CCFF
158499257-BM	BM	#FF0066
158499257-HP	HP	#66FFFF
158499257-KG	KG	#99FF66
158499257-SUBP	SUBP	#CC00FF
158499257-SUPP	SUPP	#FF00FF
158499257-SV	SV	#00FFFF
158499257-TD	TD	#33FFFF
158499257-TH	TH	#33CCFF
158721788-BM	BM	#FF0066
158721788-HP	HP	#66FFFF
158721788-KG	KG	#99FF66
158721788-SUBP	SUBP	#CC00FF
158721788-SUPP	SUPP	#FF00FF
158721788-SV	SV	#00FFFF
158721788-TD	TD	#33FFFF
158721788-TH	TH	#33CCFF
158802708-BM	BM	#FF0066
158802708-HP	HP	#66FFFF
158802708-KG	KG	#99FF66
158802708-SUBP	SUBP	#CC00FF
158802708-SUPP	SUPP	#FF00FF
158802708-SV	SV	#00FFFF
158802708-TD	TD	#33FFFF
158802708-TH	TH	#33CCFF
158822939-BM	BM	#FF0066
158822939-HP	HP	#66FFFF
158822939-KG	KG	#99FF66
158822939-SUBP	SUBP	#CC00FF
158822939-SUPP	SUPP	#FF00FF
158822939-SV	SV	#00FFFF
158822939-TD	TD	#33FFFF
158822939-TH	TH	#33CCFF
158924089-BM	BM	#FF0066
158924089-HP	HP	#66FFFF
158924089-KG	KG	#99FF66
158924089-SUBP	SUBP	#CC00FF
158924089-SUPP	SUPP	#FF00FF
158924089-SV	SV	#00FFFF
158924089-TD	TD	#33FFFF
158924089-TH	TH	#33CCFF
158944319-BM	BM	#FF0066
158944319-HP	HP	#66FFFF
158944319-KG	KG	#99FF66
158944319-SUBP	SUBP	#CC00FF
158944319-SUPP	SUPP	#FF00FF
158944319-SV	SV	#00FFFF
158944319-TD	TD	#33FFFF
158944319-TH	TH	#33CCFF
158964549-BM	BM	#FF0066
158964549-HP	HP	#66FFFF
158964549-KG	KG	#99FF66
158964549-SUBP	SUBP	#CC00FF
158964549-SUPP	SUPP	#FF00FF
158964549-SV	SV	#00FFFF
158964549-TD	TD	#33FFFF
158964549-TH	TH	#33CCFF
159005010-BM	BM	#FF0066
159005010-HP	HP	#66FFFF
159005010-KG	KG	#99FF66
